NAME	Name	freq	 cum_freq	rank
MARLON	Marlon	0.019	84.409	497
EMANUEL	Emanuel	0.019	84.428	498
JERALD	Jerald	0.019	84.446	499
EDMOND	Edmond	0.019	84.465	500
EMIL	Emil	0.019	84.483	501
DEWAYNE	Dewayne	0.018	84.502	502
WILL	Will	0.018	84.52	503
OTTO	Otto	0.018	84.538	504
TEDDY	Teddy	0.018	84.556	505
REYNALDO	Reynaldo	0.018	84.574	506
BRET	Bret	0.018	84.592	507
MORGAN	Morgan	0.018	84.61	508
JESS	Jess	0.018	84.628	509
TRENT	Trent	0.018	84.646	510
HUMBERTO	Humberto	0.018	84.664	511
EMMANUEL	Emmanuel	0.018	84.681	512
STEPHAN	Stephan	0.018	84.699	513
LOUIE	Louie	0.018	84.717	514
VICENTE	Vicente	0.017	84.734	515
LAMONT	Lamont	0.017	84.751	516
STACY	Stacy	0.017	84.769	517
GARLAND	Garland	0.017	84.786	518
MILES	Miles	0.017	84.803	519
MICAH	Micah	0.017	84.82	520
EFRAIN	Efrain	0.017	84.837	521
BILLIE	Billie	0.017	84.854	522
LOGAN	Logan	0.017	84.871	523
HEATH	Heath	0.017	84.887	524
RODGER	Rodger	0.017	84.904	525
HARLEY	Harley	0.017	84.921	526
DEMETRIUS	Demetrius	0.017	84.937	527
ETHAN	Ethan	0.017	84.954	528
ELDON	Eldon	0.017	84.97	529
ROCKY	Rocky	0.016	84.987	530
PIERRE	Pierre	0.016	85.003	531
JUNIOR	Junior	0.016	85.02	532
FREDDY	Freddy	0.016	85.036	533
ELI	Eli	0.016	85.052	534
BRYCE	Bryce	0.016	85.068	535
ANTOINE	Antoine	0.016	85.084	536
ROBBIE	Robbie	0.016	85.1	537
KENDALL	Kendall	0.016	85.116	538
ROYCE	Royce	0.016	85.132	539
STERLING	Sterling	0.016	85.148	540
MICKEY	Mickey	0.016	85.164	541
CHASE	Chase	0.016	85.18	542
GROVER	Grover	0.016	85.196	543
ELTON	Elton	0.016	85.212	544
CLEVELAND	Cleveland	0.016	85.228	545
DYLAN	Dylan	0.016	85.243	546
CHUCK	Chuck	0.016	85.259	547
DAMIAN	Damian	0.016	85.274	548
REUBEN	Reuben	0.015	85.29	549
STAN	Stan	0.015	85.305	550
AUGUST	August	0.015	85.321	551
LEONARDO	Leonardo	0.015	85.336	552
JASPER	Jasper	0.015	85.351	553
RUSSEL	Russel	0.015	85.367	554
ERWIN	Erwin	0.015	85.382	555
BENITO	Benito	0.015	85.397	556
HANS	Hans	0.015	85.412	557
MONTE	Monte	0.015	85.427	558
BLAINE	Blaine	0.015	85.442	559
ERNIE	Ernie	0.015	85.456	560
CURT	Curt	0.015	85.471	561
QUENTIN	Quentin	0.015	85.486	562
AGUSTIN	Agustin	0.015	85.5	563
MURRAY	Murray	0.015	85.515	564
JAMAL	Jamal	0.014	85.529	565
DEVON	Devon	0.014	85.544	566
ADOLFO	Adolfo	0.014	85.558	567
HARRISON	Harrison	0.014	85.573	568
TYSON	Tyson	0.014	85.587	569
BURTON	Burton	0.014	85.601	570
BRADY	Brady	0.014	85.616	571
ELLIOTT	Elliott	0.014	85.63	572
WILFREDO	Wilfredo	0.014	85.644	573
BART	Bart	0.014	85.658	574
JARROD	Jarrod	0.014	85.672	575
VANCE	Vance	0.014	85.686	576
DENIS	Denis	0.014	85.7	577
DAMIEN	Damien	0.014	85.714	578
JOAQUIN	Joaquin	0.014	85.728	579
HARLAN	Harlan	0.014	85.742	580
DESMOND	Desmond	0.014	85.756	581
ELLIOT	Elliot	0.014	85.77	582
DARWIN	Darwin	0.014	85.783	583
ASHLEY	Ashley	0.014	85.797	584
GREGORIO	Gregorio	0.014	85.811	585
BUDDY	Buddy	0.014	85.824	586
XAVIER	Xavier	0.013	85.838	587
KERMIT	Kermit	0.013	85.851	588
ROSCOE	Roscoe	0.013	85.865	589
ESTEBAN	Esteban	0.013	85.878	590
ANTON	Anton	0.013	85.891	591
SOLOMON	Solomon	0.013	85.904	592
SCOTTY	Scotty	0.013	85.917	593
NORBERT	Norbert	0.013	85.93	594
ELVIN	Elvin	0.013	85.943	595
WILLIAMS	Williams	0.013	85.956	596
NOLAN	Nolan	0.013	85.969	597
CAREY	Carey	0.013	85.982	598
ROD	Rod	0.013	85.994	599
QUINTON	Quinton	0.013	86.007	600
HAL	Hal	0.013	86.02	601
BRAIN	Brain	0.013	86.033	602
ROB	Rob	0.013	86.045	603
ELWOOD	Elwood	0.013	86.058	604
KENDRICK	Kendrick	0.013	86.07	605
DARIUS	Darius	0.013	86.083	606
MOISES	Moises	0.013	86.096	607
SON	Son	0.012	86.108	608
MARLIN	Marlin	0.012	86.12	609
FIDEL	Fidel	0.012	86.133	610
THADDEUS	Thaddeus	0.012	86.145	611
CLIFF	Cliff	0.012	86.158	612
MARCEL	Marcel	0.012	86.17	613
ALI	Ali	0.012	86.182	614
JACKSON	Jackson	0.012	86.195	615
RAPHAEL	Raphael	0.012	86.207	616
BRYON	Bryon	0.012	86.219	617
ARMAND	Armand	0.012	86.231	618
ALVARO	Alvaro	0.012	86.244	619
JEFFRY	Jeffry	0.012	86.256	620
DANE	Dane	0.012	86.268	621
JOESPH	Joesph	0.012	86.28	622
THURMAN	Thurman	0.012	86.292	623
NED	Ned	0.012	86.304	624
SAMMIE	Sammie	0.012	86.316	625
RUSTY	Rusty	0.012	86.328	626
MICHEL	Michel	0.012	86.339	627
MONTY	Monty	0.012	86.351	628
RORY	Rory	0.012	86.363	629
FABIAN	Fabian	0.012	86.374	630
REGGIE	Reggie	0.012	86.386	631
MASON	Mason	0.012	86.397	632
GRAHAM	Graham	0.012	86.409	633
KRIS	Kris	0.011	86.42	634
ISAIAH	Isaiah	0.011	86.432	635
VAUGHN	Vaughn	0.011	86.443	636
GUS	Gus	0.011	86.454	637
AVERY	Avery	0.011	86.466	638
LOYD	Loyd	0.011	86.477	639
DIEGO	Diego	0.011	86.488	640
ALEXIS	Alexis	0.011	86.499	641
ADOLPH	Adolph	0.011	86.511	642
NORRIS	Norris	0.011	86.522	643
MILLARD	Millard	0.011	86.533	644
ROCCO	Rocco	0.011	86.544	645
GONZALO	Gonzalo	0.011	86.555	646
DERICK	Derick	0.011	86.566	647
RODRIGO	Rodrigo	0.011	86.577	648
GERRY	Gerry	0.011	86.588	649
STACEY	Stacey	0.011	86.599	650
CARMEN	Carmen	0.011	86.61	651
WILEY	Wiley	0.011	86.621	652
RIGOBERTO	Rigoberto	0.011	86.632	653
ALPHONSO	Alphonso	0.011	86.643	654
TY	Ty	0.011	86.654	655
SHELBY	Shelby	0.011	86.664	656
RICKIE	Rickie	0.011	86.675	657
NOE	Noe	0.011	86.686	658
VERN	Vern	0.01	86.696	659
BOBBIE	Bobbie	0.01	86.707	660
REED	Reed	0.01	86.717	661
JEFFERSON	Jefferson	0.01	86.727	662
ELVIS	Elvis	0.01	86.738	663
BERNARDO	Bernardo	0.01	86.748	664
MAURICIO	Mauricio	0.01	86.758	665
HIRAM	Hiram	0.01	86.768	666
DONOVAN	Donovan	0.01	86.778	667
BASIL	Basil	0.01	86.789	668
RILEY	Riley	0.01	86.799	669
OLLIE	Ollie	0.01	86.809	670
NICKOLAS	Nickolas	0.01	86.819	671
