Occupation,occupation,Total_employed,Women,Black,Asian,Hispanic_latino
First-line supervisors of office and administrative support workers,first-line supervisors of office and administrative support workers,1474,68.3,11.7,4.7,13.1
"Switchboard operators, including answering service","switchboard operators, including answering service",16,-,-,-,-
Telephone operators,telephone operators,34,-,-,-,-
"Communications equipment operators, all other","communications equipment operators, all other",5,-,-,-,-
Bill and account collectors,bill and account collectors,168,68.3,20.6,3.9,18.4
Billing and posting clerks,billing and posting clerks,473,90.1,13,3.3,13.5
"Bookkeeping, accounting, and auditing clerks","bookkeeping, accounting, and auditing clerks",1182,89.8,7.5,4.9,10.6
Gaming cage workers,gaming cage workers,14,-,-,-,-
Payroll and timekeeping clerks,payroll and timekeeping clerks,138,89.3,7.3,4.8,15.5
Procurement clerks,procurement clerks,40,-,-,-,-
Tellers,tellers,357,87.3,8.4,6.4,20.7
"Financial clerks, all other","financial clerks, all other",69,63.3,24.6,7.6,7
Brokerage clerks,brokerage clerks,3,-,-,-,-
Correspondence clerks,correspondence clerks,3,-,-,-,-
"Court, municipal, and license clerks","court, municipal, and license clerks",71,87,11.9,3.3,16.6
"Credit authorizers, checkers, and clerks","credit authorizers, checkers, and clerks",52,72.9,10.4,2.5,15.8
Customer service representatives,customer service representatives,2271,65.1,16.6,4.7,18
"Eligibility interviewers, government programs","eligibility interviewers, government programs",74,77.3,25.1,2.3,33.3
File clerks,file clerks,203,82.2,12.9,4.2,13.4
"Hotel, motel, and resort desk clerks","hotel, motel, and resort desk clerks",156,59.5,18,10.7,18.7
"Interviewers, except eligibility and loan","interviewers, except eligibility and loan",151,83.2,16.1,3.7,18.3
"Library assistants, clerical","library assistants, clerical",98,77.3,8,7.5,10.6
Loan interviewers and clerks,loan interviewers and clerks,139,83.5,12.8,4.1,16.5
New accounts clerks,new accounts clerks,26,-,-,-,-
Order clerks,order clerks,84,65.6,14.5,4.4,16.6
"Human resources assistants, except payroll and timekeeping","human resources assistants, except payroll and timekeeping",59,82.9,18.9,3.5,7.1
Receptionists and information clerks,receptionists and information clerks,1232,90.6,13.4,3.7,17.7
Reservation and transportation ticket agents and travel clerks,reservation and transportation ticket agents and travel clerks,111,61.3,16.4,6.4,18.6
"Information and record clerks, all other","information and record clerks, all other",127,76.9,17.7,7.5,13.4
Cargo and freight agents,cargo and freight agents,21,-,-,-,-
Couriers and messengers,couriers and messengers,235,14.3,20.4,4,18.6
Dispatchers,dispatchers,277,56.3,13.4,2.3,12.8
"Meter readers, utilities","meter readers, utilities",41,-,-,-,-
Postal service clerks,postal service clerks,130,46,33.5,8.7,6.3
Postal service mail carriers,postal service mail carriers,320,41.2,20.3,6.8,13.1
"Postal service mail sorters, processors, and processing machine operators","postal service mail sorters, processors, and processing machine operators",64,50,29.9,8.1,9.4
"Production, planning, and expediting clerks","production, planning, and expediting clerks",286,55,10.3,4.6,12
"Shipping, receiving, and traffic clerks","shipping, receiving, and traffic clerks",575,29.5,14.7,3.5,27
Stock clerks and order fillers,stock clerks and order fillers,1529,35.8,18.2,4.5,20.2
"Weighers, measurers, checkers, and samplers, recordkeeping","weighers, measurers, checkers, and samplers, recordkeeping",72,57.8,13.1,6.6,23.7
Secretaries and administrative assistants,secretaries and administrative assistants,2870,94.5,10.4,3.5,11.9
Computer operators,computer operators,69,46.8,13.5,5.3,13.7
Data entry keyers,data entry keyers,281,74.3,13.8,7.7,15.1
Word processors and typists,word processors and typists,103,92.1,15,5,9.9
Desktop publishers,desktop publishers,1,-,-,-,-
Insurance claims and policy processing clerks,insurance claims and policy processing clerks,287,77.1,17.7,5,7.7
"Mail clerks and mail machine operators, except postal service","mail clerks and mail machine operators, except postal service",81,59.4,25.1,10.9,18.4
"Office clerks, general","office clerks, general",1288,82.3,13.4,6.7,18.6
"Office machine operators, except computer","office machine operators, except computer",37,-,-,-,-
Proofreaders and copy markers,proofreaders and copy markers,8,-,-,-,-
Statistical assistants,statistical assistants,17,-,-,-,-
"Office and administrative support workers, all other","office and administrative support workers, all other",477,77.4,12.9,3.9,13.8
,,,,,,
"Natural resources, construction, and maintenance occupations","natural resources, construction, and maintenance occupations",13733,4.7,7.3,1.9,29
"Farming, fishing, and forestry occupations","farming, fishing, and forestry occupations",1073,24.2,5.1,1.3,45.7
"First-line supervisors of farming, fishing, and forestry workers","first-line supervisors of farming, fishing, and forestry workers",54,21.2,1.4,0,41.6
Agricultural inspectors,agricultural inspectors,18,-,-,-,-
Animal breeders,animal breeders,8,-,-,-,-
"Graders and sorters, agricultural products","graders and sorters, agricultural products",97,61.7,18.6,3.8,54.3
Miscellaneous agricultural workers,miscellaneous agricultural workers,789,21.9,3.5,1.1,50.7
Fishers and related fishing workers,fishers and related fishing workers,39,-,-,-,-
Hunters and trappers,hunters and trappers,0,-,-,-,-
Forest and conservation workers,forest and conservation workers,18,-,-,-,-
Logging workers,logging workers,51,2.8,10.4,0,11
Construction and extraction occupations,construction and extraction occupations,7652,2.7,6.9,1.3,33.3
First-line supervisors of construction trades and extraction workers,first-line supervisors of construction trades and extraction workers,712,3.3,6.2,1.2,16.7
Boilermakers,boilermakers,20,-,-,-,-
"Brickmasons, blockmasons, and stonemasons","brickmasons, blockmasons, and stonemasons",172,0.7,5.3,0,43.3
Carpenters,carpenters,1281,1.8,5.4,1.2,32.8
"Carpet, floor, and tile installers and finishers","carpet, floor, and tile installers and finishers",156,1.7,6.2,2.1,47.1
